cibil_score,annual_income,employment_years,loan_amount,loan_term_months,residential_assets,commercial_assets,existing_liabilities,loan_status
355,1490530,3.7,1223269,48,4140245,1249396,2983323,1
633,1542254,11.8,1357537,24,4678392,1090334,852976,0
833,2243475,9.4,2329133,48,7468133,3557676,2404874,0
338,353809,25.4,2521053,84,1742756,4462226,736144,1
815,3489896,11.4,2638814,60,7875246,1896977,2997858,0
797,3149053,24.6,821385,24,2214222,1651609,2291156,0
466,1669438,13.3,2339474,120,2792709,2788863,1877474,1
679,1993846,22.6,1091329,24,3596347,4938229,199119,0
399,1777764,4.1,1143835,84,4812295,1851846,1491167,0
755,3326408,27.7,3792262,36,2582241,1391634,432084,0
721,3846657,14.4,448640,12,6344858,2608147,2752909,0
513,721601,7.8,1682063,120,170511,4579474,1137383,1
340,2183931,7.2,1785221,60,5332831,3649020,2492868,0
883,266131,8.0,1017701,24,5250048,2591228,2718295,0
567,2370800,11.0,3152187,12,4276429,3655653,330336,0
836,1391812,21.5,1974078,12,4907423,75647,2277764,0
707,1811856,28.5,2891652,24,5981465,3765913,908168,0
767,2391427,20.1,1578713,120,7234486,488123,326309,0
756,1753874,16.4,3592249,24,1747057,1955194,781935,1
416,2091545,13.5,2931640,24,3814832,1749452,1649853,1
518,3870900,24.8,1366091,84,4497515,3452477,2565785,0
580,4089453,25.5,3850359,120,2757672,1200127,2074965,1
599,228143,8.8,3466977,24,7790874,1193558,699736,1
326,2013621,28.6,2387363,60,4092137,4421308,887998,0
628,4265054,11.9,114973,48,4741196,2387142,912134,0
392,2746118,24.0,2385031,60,1557560,3707329,2208140,1
746,1185346,29.0,2778835,36,3326333,2915535,1556366,1
710,3048875,21.1,1491094,84,5004323,3099486,71723,0
854,895658,4.8,618383,120,3426762,3432411,228358,0
747,304790,17.6,2280292,84,6160263,3337960,226871,0
520,3235643,3.6,3215975,120,1093790,4559980,2883689,1
881,2672640,23.7,1311349,12,1227693,3924565,1514015,0
546,3831207,8.4,1852427,60,2711917,1523843,1473188,0
495,1855190,20.9,54313,120,2547066,847745,2283243,0
844,4300560,27.3,2830231,48,6523627,4226430,571301,0
522,2222145,5.4,3471080,120,6942408,1862690,94680,1
345,3742494,11.8,3116588,36,3775664,1555621,812462,1
582,681379,19.4,1746304,120,4044254,555448,625485,1
778,666330,12.6,228148,120,2354962,2759547,2394252,0
413,3957539,5.2,1993750,60,4254693,2560514,2455189,1
578,4203133,0.9,3764674,60,5651751,4140500,1902020,0
378,4723541,12.2,379828,48,5779266,3743149,2729962,0
712,1758187,19.5,895016,36,7751748,3615748,1393878,0
585,306890,17.2,3356587,48,4623143,2692401,721217,1
498,4903542,4.7,2294395,120,2722547,4314349,994804,0
436,3086589,13.5,722831,12,556638,4916523,424948,0
639,1386183,11.1,145828,24,5503314,4074406,2702053,0
702,3866452,8.2,1671953,48,6431694,1739913,1812557,0
865,4538701,21.9,2399932,36,4419256,1381736,2317694,0
562,1567076,9.3,3369049,60,7382689,6587,844762,1
396,3894410,16.2,3540969,36,2535289,4964684,2154336,0
800,3980267,27.7,1858243,60,426217,3663253,991540,0
678,2608083,16.2,1718806,12,5065173,4684993,1338001,0
720,3235304,18.5,3728052,36,969998,3938209,1955470,0
358,1493695,2.2,3118689,60,672927,2150873,2943481,1
487,4659981,5.3,876791,48,5615802,725153,1674596,0
761,4918899,3.0,2741025,60,3475188,236047,2130211,1
800,4908824,22.9,2875170,60,4835792,3960570,1784083,0
561,3738200,25.1,973926,36,5981713,1517483,1270874,0
783,403261,5.6,3913095,36,3060136,1896463,2797705,1
805,1958985,6.6,1222532,120,4888642,4180763,2881657,0
532,2335701,9.7,2220974,120,4313989,2406457,931293,1
839,4807244,17.7,2000227,12,4640159,4754353,2687175,0
473,2825541,18.7,2784127,60,5626709,2733022,1353668,0
443,2773611,20.6,3611541,48,3043059,4158360,2219896,1
710,904367,27.2,1603245,12,4035812,629651,1551268,0
682,4009859,8.9,1568897,60,4729157,1983716,2300989,0
383,1814172,19.8,3017783,12,1121506,915534,2614718,1
800,640985,16.8,3811475,36,1692677,282682,1270882,1
420,4940708,9.2,3640053,60,715488,4958237,2102163,1
783,1112340,27.2,3023395,84,1584192,2587914,1522052,1
304,277906,2.9,2827070,36,3510870,1768456,2397194,1
778,573619,21.4,3086479,84,7500963,1881912,574642,0
772,2372038,21.8,3746919,84,7383078,1204621,2187195,1
768,693938,27.5,92025,48,6102812,614862,1786189,0
699,4244743,15.6,2375178,24,4462233,4566841,1354252,0
583,2659750,9.6,184432,60,1620199,529266,1109750,0
723,1754726,24.8,2329693,12,2865760,1923444,2105003,1
466,215119,23.1,1609151,120,6130236,765184,1042315,1
769,2503033,15.0,1253278,36,7269650,4648067,98710,0
633,926259,23.0,3569409,84,7700030,1029118,2844685,1
575,4894620,8.0,2853029,84,3109057,1969851,1343610,1
603,1597224,17.7,2291292,48,3893035,3768932,494350,0
641,2479409,26.0,3533713,120,4073172,2851206,677067,0
322,289382,9.5,436708,84,449989,1908517,2489921,1
384,828422,14.5,2602949,120,931994,2818415,994855,1
447,1195935,28.5,667162,12,361761,2184691,844405,0
368,448263,23.9,970505,48,5899208,1446562,1461955,1
564,3684770,26.6,781367,120,1794787,2991907,85966,0
701,4738000,11.6,2199231,84,5602424,1826320,1680754,0
693,4929706,29.9,2534723,48,3002208,4800668,121389,0
583,1475885,4.6,3035953,12,6353952,2315894,2506803,1
813,3985983,15.6,1790464,24,924238,1172172,1287532,0
639,2619507,14.4,3760486,60,2601530,3228563,654660,1
347,420115,24.0,1525625,60,1638545,2797406,1363383,1
759,635368,27.3,668554,120,3488426,3719161,526717,0
645,2829376,21.9,194233,12,4495866,2308616,960753,0
681,2233545,18.8,553613,36,1346733,3596463,392195,0
639,240231,12.8,1808219,24,5335978,292937,2006339,1
632,4664507,15.3,1681127,120,7716039,3451246,2928398,0
354,3705617,15.3,3424201,24,346291,3767243,1456028,1
636,2611582,0.6,546164,24,688618,2482036,295792,0
777,4937572,15.1,1086200,36,7617714,171497,222339,0
482,4861449,25.7,3922695,12,5192107,2834235,2496481,1
662,4874969,21.3,162828,60,7357146,3906539,1044213,0
318,1442411,23.9,1726002,48,5642059,2307457,888270,1
508,4428277,11.7,833032,48,5738588,470845,305888,0
562,2621817,15.9,2157762,120,1261891,1974792,1991210,1
890,3684977,1.0,3895932,48,4094643,4970441,188747,0
428,4325748,11.5,946996,36,2922586,1353840,2712451,1
466,983967,14.2,1512950,36,6669012,2647159,624920,0
545,2351611,7.7,1824048,84,345012,1776066,207145,1
896,818716,0.9,3204049,48,145338,3561805,2101727,1
812,1541539,20.7,3939542,24,4452866,2142648,1062536,1
320,2184880,13.1,431317,60,7763545,1921533,2088005,0
440,4306282,12.5,1980314,84,7959506,2896897,119348,0
793,4340796,7.5,3022766,24,4748357,2858831,2584168,0
335,2071469,16.1,84854,48,3439080,2499375,929261,0
814,1780136,13.1,3234132,48,2183385,1291137,2269258,1
469,2747472,14.2,1007983,24,7920066,539744,2806999,0
851,4576980,17.4,2097677,12,1465872,3452528,1606487,0
476,4887330,0.2,3914897,84,1009803,1699868,1002148,1
561,1288468,27.2,2558795,60,4066725,3064022,937836,0
697,1095120,2.1,3956817,60,3139635,1880967,2059055,1
375,3592518,13.5,2433699,36,3966453,4269844,17434,0
634,1646723,6.2,881447,48,7215720,3534630,440668,0
603,1158859,15.7,2785857,120,2158488,2019751,1941413,1
771,349134,8.4,2480293,24,7013564,1664460,77038,0
898,2135417,25.8,1277323,60,1694088,3745136,869139,0
699,2080821,11.9,353787,12,2588732,39779,1943043,0
545,2902680,19.2,2610422,12,35624,287998,750300,1
544,1160880,7.5,2330895,120,5428885,421683,2792195,1
551,3628957,0.6,3105829,12,6867688,1729382,2924477,0
789,3464168,12.1,547386,60,7089282,2484992,100789,0
493,2419275,16.1,2178048,48,1339680,1464301,522720,0
400,1070343,13.8,3283713,84,6135020,942477,2722284,1
500,2633389,28.9,3570420,48,1130690,1564829,97304,1
313,3439101,21.2,3761322,60,5027810,2473112,1459968,1
363,1989037,29.9,887233,120,5619188,1487036,2848172,0
354,1464682,8.9,733298,84,1220605,2871027,1765643,1
763,2631229,23.7,2325231,84,884101,1911065,918020,0
734,1905045,16.7,1877713,24,584021,4667190,19075,1
718,2122462,18.4,975610,24,5666887,4961678,1180260,0
577,1874531,29.6,453069,48,4916978,3277900,1625694,0
730,1656632,19.6,617363,60,954788,2774003,242804,0
396,3640409,27.0,1389603,60,4002205,155203,1584721,0
841,2409162,21.8,2970984,84,6366447,3112687,1212196,0
601,2439244,3.8,307136,12,1904293,1903652,977490,0
863,3334812,21.0,465529,24,4845096,1449679,2916664,0
391,1934235,14.5,1094959,24,2342158,3967285,2681059,0
598,684963,27.6,3501280,48,2088107,210903,2082059,1
718,4292589,24.2,3961384,60,3136697,1302812,1772602,0
597,467383,3.1,1788659,12,2817714,3871026,1421475,0
568,2945363,4.0,226182,120,3964167,4624866,211035,0
399,1475943,2.1,97157,36,1643255,2573058,922415,0
528,1226388,14.8,3442925,60,3122072,2645054,31292,1
443,401390,2.4,1806872,84,4979064,4835305,1098132,1
481,4520439,21.7,355937,12,3098333,462238,1420909,0
710,2260185,16.6,3342036,120,5251200,2404790,1833685,0
678,1844721,25.1,2139538,120,925862,1208352,1064873,1
664,3757897,8.4,1431545,120,1101287,2383993,763350,0
517,387101,15.6,1835873,12,6924724,4531496,2130032,0
876,2909844,3.5,939021,36,3694596,2980529,455842,0
352,2574081,26.5,3729641,24,4873233,4957299,376250,0
505,2856501,5.3,3161667,48,5918366,2525163,2088686,0
370,794902,3.1,836247,120,1168817,4315080,1757602,1
503,4772188,6.2,2952864,84,7778101,848534,2608410,0
878,1344639,24.2,759744,84,3390995,1603383,2216801,0
520,3456562,3.2,1840484,36,7117690,1369442,2704617,0
846,3786132,18.4,3007421,120,3333727,3844095,1993162,0
597,1851122,22.4,193670,120,3244579,2565310,2524256,0
720,827608,22.5,2916592,84,4804967,1111138,507488,1
574,1624016,5.7,942497,84,1527176,864099,1591799,1
459,4073333,1.8,2811768,60,4870957,1922611,2833593,1
759,4551177,13.5,2021714,12,7866495,767589,2366493,0
882,4697155,6.1,153202,24,5161777,3485841,1209221,0
458,1286293,21.0,3059459,84,560524,4241483,2779068,1
768,3111354,10.7,1076841,36,5583225,4844507,937534,0
456,924972,13.5,3811662,24,267209,1178498,70087,1
730,3609724,3.4,3367586,120,826832,2195991,2389719,1
774,2196165,17.0,811696,48,2276644,2519337,1236295,0
570,3625216,5.6,2423390,120,2439377,2479182,102909,0
742,3488608,20.4,1480029,24,28399,2266041,612376,0
463,4965479,2.1,2428670,36,138782,1100842,215905,0
347,2545488,29.3,2250162,36,6313873,559722,2990307,1
357,1839383,20.5,1218870,36,3637132,2016114,2543115,1
568,2728426,5.5,2623042,48,1598549,461233,2788698,1
842,981711,0.4,1077683,36,3435441,315093,2406558,0
376,736449,10.0,3634018,84,5543492,2620710,1691204,1
573,2692003,4.6,3788892,36,5874616,4292930,887639,1
723,4161950,6.6,705332,48,2305137,2702927,2006630,0
421,2759599,26.2,2924634,120,1336935,116672,2856307,1
733,3953234,18.1,3721036,48,7674752,4202154,1381555,0
483,1053980,5.3,551121,12,5051956,3417623,87751,0
786,2357076,16.7,2971539,12,7863639,1515615,2527277,0
648,3142925,7.7,3753943,48,2453553,1366108,564119,0
628,1868843,29.3,939148,60,890126,4497824,547712,0
406,267798,1.0,2350362,120,3055332,2380547,1850621,1
578,552549,22.0,3201487,12,2622789,706167,2396770,1
814,4652809,23.2,1366781,48,5754295,1407792,2379020,0
311,3104658,2.0,989391,36,5729006,1322136,2603863,0
755,1469956,5.2,1618701,48,572384,2000353,2650893,1
596,1442331,11.5,1374786,48,4701948,1729024,384906,0
732,389889,26.0,2915348,36,2742263,2733889,901526,0
698,4734932,16.1,1515168,12,4919091,1615744,2160381,0
559,719597,19.7,1536277,12,3130586,3204467,1172414,0
485,3845393,23.5,3780802,48,4299381,2463406,2147963,1
677,1353195,24.8,2336042,24,5725995,4701431,1364482,0
384,1811006,14.3,3720976,36,2347112,4140580,1354210,0
651,1514749,15.3,2856473,12,1593795,1661004,80921,0
356,4157702,21.5,3546564,12,5647949,210801,1824981,0
690,357488,7.9,821731,12,7579304,2924288,2591908,0
677,1890987,25.6,3755826,36,3552042,1691533,2456021,1
350,1540903,0.6,3779754,24,7982096,4508611,1013845,1
755,1510186,5.9,211035,24,6551281,2028371,2030228,0
549,1126120,24.0,1456882,36,7905644,1451159,597835,0
772,4579745,10.2,1682502,36,2397700,1696790,1900640,0
325,2017380,4.5,1706530,12,1182846,4325250,1227591,0
407,2207386,5.6,3124692,12,5310933,562650,2780096,1
596,2048805,15.9,2809132,120,6955154,4787776,2131690,0
413,4905044,25.4,890890,60,665184,1167229,219927,0
498,1827237,2.1,2454701,12,5125780,4237469,2612747,1
697,1840097,0.9,3899779,24,6970235,2721616,2172444,1
386,1774034,14.0,1788473,36,256114,2849303,646129,1
707,1769441,28.7,3716443,120,4127943,1022909,847652,0
362,630710,8.4,2616481,120,615877,3610578,517839,1
405,3100524,28.8,3703596,84,1411513,3242840,930584,1
653,320983,26.6,3616172,12,3890792,2405329,2831349,1
776,1284569,8.5,115863,48,2619332,2288917,2706675,0
402,1170148,24.5,3211121,48,681089,2986279,1652679,1
480,1599147,20.6,796911,60,6405942,2358965,1086607,0
855,3831918,15.4,3305823,84,1623699,4872371,1097316,0
894,3077586,12.7,3241662,36,6961815,206985,2870849,0
649,4955887,24.5,1070713,48,1413942,1255603,597958,0
568,1885757,23.8,311561,24,4157707,4254854,2272553,0
508,4656926,22.7,1706643,24,5816282,3962736,2985744,0
668,415583,29.9,1246755,36,3842492,1739753,2565866,0
655,2620253,14.4,2237586,84,3336784,2531166,2157553,0
477,4034473,24.2,373976,48,6005878,135064,2699419,0
313,2752755,25.9,224553,60,94227,884366,653656,0
391,4679890,6.3,1776712,60,6609517,4722486,2951215,0
876,1709991,1.3,3090679,36,5519173,3217677,273778,0
551,359997,12.1,1294151,120,6118775,193015,41517,0
589,3914910,25.7,1327680,12,3367740,3962135,597847,0
580,526419,8.7,697881,120,3075424,2017784,1826789,0
770,3870832,21.0,1166254,12,4575353,2843779,743228,0
339,3720403,0.2,1230160,36,5135406,4284264,1900534,0
349,4252508,10.7,1074203,84,7401556,4187164,333257,0
465,2498845,18.5,1407538,60,6858880,682279,2091214,0
592,4498422,3.9,1169348,36,431130,1829343,688954,0
703,1015192,26.9,2739234,120,1214085,1363078,1570405,1
594,2284876,4.7,1385158,12,7572936,4568842,350339,0
565,784805,27.3,3031290,60,3105093,3903628,2910722,1
863,3881003,6.5,2439057,48,4642270,3241601,1133195,0
396,3628507,29.8,2579913,24,452951,292504,1814146,1
643,4070714,18.1,2355083,120,837052,4015797,1458586,0
625,3868848,2.5,3695318,84,3271018,2804549,1785900,1
584,1680606,2.0,1060061,12,5738599,1364925,1365855,0
785,526719,2.2,3930422,12,6178257,2213575,219473,0
460,4660363,17.7,865376,12,7157478,2230642,2487631,0
873,2565527,24.3,596006,36,1576227,1480455,1927414,0
499,652839,12.1,3314115,36,1614702,4548087,761986,1
627,4649910,13.3,3589039,84,4335097,4587491,252093,0
612,4972493,17.7,416257,60,4375374,254477,2661282,0
810,2338389,16.0,2419152,12,292685,4679502,997646,0
563,3896436,20.6,2075650,48,3577404,2019908,2724369,1
471,374230,14.2,919441,84,7181200,3999162,2297611,0
312,647700,21.4,2106215,120,1311173,3901594,2879400,1
518,1527517,29.9,2758851,36,6560038,2994454,1979698,1
796,3349902,10.5,2317840,12,3577923,3719074,542949,0
305,840429,0.4,2103043,24,4195274,3406855,106300,0
838,364061,3.8,3548318,36,5132866,4258115,737253,1
626,3410100,16.6,940845,48,5646296,2118486,1317795,0
384,3896898,10.3,2514460,36,5099948,3696952,1871497,0
481,3748221,28.2,1300449,12,831329,4896179,2687655,0
632,4036270,18.8,3895854,36,2362690,4735461,422675,0
489,4053686,15.6,1043610,36,6761676,739744,1904868,0
365,3091569,23.9,3491845,48,321169,2491298,256864,0
700,2693184,7.8,2546905,12,5722092,2550304,1444338,0
704,4312930,24.6,898224,84,4163828,3121449,221091,0
371,1870528,0.1,3046830,36,959739,3235227,1121660,1
469,669839,18.6,1002674,36,982152,4238529,1818449,1
446,3809422,28.0,1086152,120,7845515,2660936,2216808,0
696,1524434,23.6,1411858,84,248330,3508455,2414035,0
738,4898499,25.6,2742847,12,180243,4497378,1573512,0
736,2188052,11.9,1596482,24,133699,510283,776657,1
864,4288607,24.7,2298094,12,5028087,3213223,2739051,0
761,403798,16.5,2234331,48,7411157,1834982,2800602,0
492,3364308,18.6,826685,36,1374040,4529611,2902721,0
364,2351437,1.8,968425,36,6366003,2762954,2375807,0
669,2420490,6.0,1261941,48,5754061,3014421,2333654,0
850,1473024,16.5,928263,48,1838208,3773588,232381,0
886,4861730,1.8,3679009,12,563250,1210010,1717693,0
438,2085128,22.2,1556490,12,3903291,2717838,1221909,1
442,4282303,25.2,1649258,84,648807,3864981,776888,0
322,2240493,27.6,2704491,120,908561,3887746,204044,0
384,431724,3.1,3162910,84,3730334,1139359,639973,1
633,4421177,28.2,2768096,120,6525279,4188048,2745583,0
628,1088526,2.0,2227151,48,7952076,814255,2726038,0
522,1497636,14.2,3905662,84,5022734,1325641,2228407,1
486,4333313,25.2,3604371,120,2212130,4283113,304701,1
798,4489967,2.1,849541,120,2626363,3080491,2059636,0
576,4600422,0.5,682118,24,4900225,2710890,380372,0
785,2244661,0.7,1601794,24,1385704,2785552,2048106,0
878,3833469,15.3,3349721,36,4148793,4846134,101030,0
490,1773477,24.3,3860477,48,6151322,1136586,855547,1
421,3753876,3.8,2825376,120,6736957,1495803,367535,0
872,2612058,3.7,2775535,36,473063,2449390,2800618,1
681,449403,17.1,973101,84,2308717,4227316,1706297,0
474,2205168,7.0,2389500,120,2038453,2742841,2768330,0
673,2445087,21.9,778064,120,4439555,3629550,60899,0
609,1435387,28.5,2181602,24,1482511,4086700,2218467,1
844,1997454,23.0,815312,24,7604989,4460429,1439578,0
453,2612861,26.3,348266,24,7336733,2304947,1406791,0
895,438569,15.6,3870801,84,2660686,2289562,2619788,1
862,928648,25.0,3578827,60,3256772,404579,141347,0
408,3880560,5.5,2757023,36,3515245,401559,2832521,1
398,1889264,2.1,2520746,12,341052,2436480,84934,1
620,3120248,19.7,997990,48,7110507,3745470,1088365,0
326,2915793,1.6,2308086,84,6234958,4189755,414403,0
479,2845848,26.8,3004940,48,2659991,2042479,1569420,1
561,2184359,20.7,2181026,24,4379514,2856277,1787294,1
882,2519912,28.6,1163658,60,3045390,4063097,1926189,0
896,4154780,9.4,1598061,60,1825508,1594326,2394298,0
391,4832239,14.6,3371826,60,2432950,792535,2252911,1
835,1432264,22.3,1055925,120,856717,4604855,2845398,0
354,3413476,7.3,3847537,36,6476251,2730263,1348830,0
749,4854904,16.3,3033522,60,5238268,778257,526086,0
808,236404,19.8,3566440,84,7443096,1259932,467060,0
835,3966666,29.4,2062792,24,52534,1634388,826583,0
434,2584740,22.3,933764,24,5048791,1005619,1808775,0
836,4844447,3.5,184061,12,4483160,2185673,162300,0
369,2975684,14.3,2162937,36,4989041,4063963,2864496,0
611,4223056,17.7,1626423,12,7917666,3689890,2967142,0
582,996869,4.4,499041,84,3120029,4585270,494426,0
489,882098,13.0,3717985,12,1128260,4178734,2342746,1
313,4647584,8.5,3882550,60,99870,1556584,1788862,1
763,2727008,3.6,1526883,60,3936123,292802,1442142,0
501,2880044,15.4,2688789,120,1391500,758332,2203871,1
697,1015897,5.0,1682270,36,1128869,3960179,1726696,1
546,1288305,17.7,2012398,36,1179506,1701532,971044,1
524,4127492,5.1,2514647,24,2215785,3602642,1686523,1
832,1655980,21.7,1694902,48,927056,2288875,407280,0
356,3003978,5.9,3216616,24,3887271,4473262,763082,1
742,1719362,26.9,797916,12,5232379,2540658,2918914,0
748,1464556,0.8,2690422,120,2314580,4502215,556172,0
528,996898,15.7,3933360,60,1090791,1253779,1794661,1
457,4662075,9.6,3407717,12,4579404,3887628,890927,0
303,4712300,6.8,230596,60,685071,2619749,1394315,0
863,752893,14.1,500183,36,5900723,951013,741460,0
869,1895603,25.3,2533498,24,3060652,1169921,1706339,0
444,2906540,27.5,3702141,48,3279637,1569357,1672584,1
319,2039774,9.1,3383901,84,1992181,774338,1852871,1
373,3660995,4.6,3620492,12,2262642,4681599,924608,1
340,1449104,21.6,641411,36,1166884,1063605,1736593,1
799,482473,17.5,2100637,120,4464058,2990867,2186835,1
836,1817287,6.0,2917242,36,1169023,2854669,2159835,1
392,3069709,22.8,2517732,12,5444357,2693804,1703819,1
748,1067067,15.6,3119256,48,2049645,3137232,897447,1
407,4116326,19.6,890611,60,4523495,4578548,1596791,0
520,258794,10.8,1855363,120,4294798,4839461,1610866,1
660,524131,13.2,1819392,60,5067354,4370993,2853882,0
732,2642414,5.4,3762521,12,6064765,2298290,1131104,0
825,2658766,22.7,850678,84,4484787,3637481,967228,0
326,1615445,4.7,1339166,84,6822213,929421,2249649,1
418,1441074,23.3,136807,60,2072031,4411262,1905810,0
468,535098,23.9,649416,120,6011343,977548,1281300,0
486,3382038,22.4,3924568,84,2743744,569174,151,1
899,2019326,0.6,3398341,24,5025706,4143608,2114733,0
767,769651,8.2,1073628,36,3935980,3787720,2210771,0
492,2119227,14.1,2823172,48,7260997,691878,2791005,1
884,4697847,17.9,2392778,48,2169681,4828201,1507632,0
600,1453937,27.6,3630986,60,4157894,558085,1545336,1
600,4494698,11.3,1235989,60,1315851,244884,625155,0
560,1441968,26.3,3977685,12,5066855,4778889,1379021,1
386,1092677,4.9,1513955,48,295177,1115228,4531,1
861,1451083,11.1,2881591,12,3292964,1173924,1502170,0
308,1751676,1.6,1621158,48,79189,3969842,2120832,1
404,778923,22.3,2702557,36,2619073,3035933,2357719,1
438,3020648,4.5,1373434,24,3872385,2600236,1988102,0
467,1800552,7.7,3381016,120,2653694,4940254,2416209,1
379,3646699,23.3,2567729,24,3087330,433091,1996222,1
310,2556750,16.0,1190655,12,1186538,4628628,2339537,0
707,2324749,0.4,3845699,36,5716992,1339790,1312364,0
882,2460775,0.1,2851250,84,3637927,3113080,1806563,0
373,950198,15.3,1743107,12,442944,1620298,1917892,1
478,3621826,9.1,586746,48,499214,1465474,1717661,0
604,699927,5.4,3894641,36,5397482,1605313,1714004,1
857,3663339,18.4,3032224,120,7431378,2795171,2345581,0
717,4998874,6.9,2687799,12,6915682,4388364,716685,0
760,3867191,17.8,3340793,12,3243939,562433,950618,0
649,2385690,11.4,2448188,48,3979427,3310182,1556304,0
550,1709483,5.6,966420,24,1304713,4301172,1936199,0
420,4388153,4.1,986560,60,561606,3674587,1543778,0
819,1434517,7.1,362346,24,6126250,4900713,598211,0
783,2515405,0.9,298536,48,3427340,67850,2470869,0
315,3900192,9.2,2928277,12,3974979,1812549,1637441,0
729,4627317,27.1,3415143,60,2745813,2137560,1300467,0
350,4620589,24.9,697484,48,2505254,2678091,2634207,0
744,621245,11.2,2317225,12,7884315,1589103,1308256,0
796,4511664,17.3,539449,24,6529699,1265958,484524,0
378,747292,17.0,1686935,12,5530122,4259627,2953214,1
560,3005486,24.9,3173403,12,3113232,1163006,1147860,1
374,4662235,7.1,3257271,60,5770879,4769349,2683392,1
640,3343070,8.9,3797574,36,2713796,185214,1550558,0
857,4747967,9.1,1276792,84,4126615,2116704,726858,0
348,1852803,1.2,3797500,24,1160220,3046946,1129673,1
538,1710644,9.4,3145288,84,5675314,4865304,2730880,1
884,1765835,26.3,1387569,60,483918,3822877,2834047,0
480,1904791,27.4,1345457,60,5780568,71796,413900,0
379,3477469,3.3,474872,84,4829476,3742835,2961352,0
593,2371761,13.7,3687481,60,530871,1628597,2560174,1
605,3739662,11.4,853055,84,4048801,4299461,1943137,0
698,2197576,14.7,1108469,84,1780852,3874656,549970,0
488,1677081,16.6,1681042,48,3809065,959760,1759655,1
874,1112217,0.6,593338,84,103740,1800498,1276810,0
613,2845076,25.3,3233599,84,5774504,4105490,373468,0
472,4512202,29.2,2807482,84,4078459,4604812,2951765,0
877,4323039,19.6,668674,60,2898254,3018133,1810226,0
855,1415876,19.8,693246,12,7006399,1092324,291146,0
599,2492644,15.8,136886,48,5159463,1947925,1025157,0
314,3585308,10.0,3799984,12,4876436,3978334,2519364,1
658,3139636,4.5,1771347,12,1176981,2991900,1326639,0
633,522347,17.5,2639443,36,4001660,1008511,1484202,1
389,3037080,1.3,642391,48,5604948,1428053,427419,0
681,386006,24.7,961899,48,7407727,985524,332974,0
805,759195,12.6,2188885,120,4833990,2345736,2933776,0
363,3337906,12.4,874834,84,1377748,2228747,2857475,1
734,692227,9.8,2471079,36,5423731,2708886,285935,0
384,1827276,29.1,3699307,36,596834,4724703,1647694,1
750,3024447,5.2,1255143,60,2503472,3257560,2043121,1
551,3346205,4.5,2451039,24,7338446,2927275,2641923,0
303,2339508,5.0,3666888,120,6414323,1831165,1678992,1
880,651301,19.8,3580258,84,7222254,3175165,2607321,0
399,4035702,29.8,80495,60,2819433,4776933,362690,0
658,4759287,7.1,485389,24,5463780,48663,43903,0
409,4465856,27.2,3945482,60,5600210,1748898,1394688,0
860,3792870,8.4,3705300,84,1967833,283076,794522,1
743,2130652,19.4,1321545,12,7540870,1018604,2265451,0
783,4406083,1.2,2104195,24,7758113,334670,1010765,0
559,2543240,14.9,2312556,48,882771,2961560,1221057,0
580,855058,19.6,2690267,36,6122771,4098211,1604592,0
681,4282628,16.1,3013999,60,3581541,4701307,2884368,0
771,1736772,7.1,1522858,36,5391157,1184260,215598,0
809,4705768,24.9,3565236,120,4435261,3497040,1657727,0
310,1968052,29.1,283604,36,1783290,1644191,1166901,0
698,2778429,13.8,178116,36,767701,1578997,108017,0
